Jul 19 23:28:22 postfix01 MTA[24308]: 3e72bw: from=<george.75@corporate.co>, to=<sara.92@mailbox.biz>, relay=mx.test.org [183.132.131.5], proto=ESMTP, delay=18.42, size=12359, nrcpts=1, msgid=<20250719232822.3e72bw@postfix01>, status=Rejected (553 Invalid recipient)
Jul 28 00:07:27 aixhost MTA[94071]: 7z3lim: from=<alice.65@logistics.inc>, to=<mia.10@mailbox.biz>, relay=smtp1.alpha.tech [180.14.208.78], proto=ESMTP, delay=6.63, size=18113, nrcpts=2, msgid=<20250728000727.7z3lim@aixhost>, status=Sent (250 Message queued)
Jul 28 00:12:12 mailgw1 MTA[65879]: 0sfjzd: from=<steven.81@cloudmail.ai>, to=<andrew.90@securemail.gov>, relay=smtp.banksecure.fin [43.54.186.35], proto=SMTP, delay=6.05, size=7245, nrcpts=2, msgid=<20250728001212.0sfjzd@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 28 00:16:03 mailgw1 MTA[23820]: 8e8lvl: from=<sophia.25@university.edu>, to=<tom.65@cloudmail.ai>, relay=mx.securemail.gov [39.146.175.33], proto=ESMTP, delay=29.94, size=14217, nrcpts=1, msgid=<20250728001603.8e8lvl@mailgw1>, status=Deferred (450 Timeout)
Jul 28 00:18:55 aixhost MTA[81372]: xamf11: from=<andrew.62@securemail.gov>, to=<lucy.16@test.org>, relay=smtp.banksecure.fin [81.202.248.18], proto=SMTP, delay=13.05, size=16795, nrcpts=1, msgid=<20250728001855.xamf11@aixhost>, status=Rejected (550 Spam message blocked)
Jul 28 00:20:31 aixhost MTA[17554]: cnzvx3: from=<kevin.29@marketing.agency>, to=<john.35@cloudmail.ai>, relay=smtp1.alpha.tech [138.136.48.237], proto=SMTP, delay=23.7, size=15687, nrcpts=1, msgid=<20250728002031.cnzvx3@aixhost>, status=Rejected (554 Relay access denied)
Jul 28 00:21:32 mailgw1 MTA[98295]: kxszt3: from=<mark.33@mailservice.io>, to=<george.59@alpha.tech>, relay=mx1.fastmail.pro [166.40.210.115], proto=ESMTP, delay=8.36, size=15007, nrcpts=1, msgid=<20250728002132.kxszt3@mailgw1>, status=Deferred (450 Timeout)
Jul 28 00:22:29 mailgw1 MTA[19693]: 2i0e5r: from=<michael.67@mailservice.io>, to=<bella.61@cloudmail.ai>, relay=mx1.fastmail.pro [193.237.100.42], proto=ESMTP, delay=4.69, size=16379, nrcpts=1, msgid=<20250728002229.2i0e5r@mailgw1>, status=Deferred (451 Temporary local problem)
Jul 28 00:25:14 aixhost MTA[30481]: do4hbg: from=<ryan.36@company.net>, to=<susan.56@mailbox.biz>, relay=smtp1.alpha.tech [158.161.223.107], proto=ESMTP, delay=19.6, size=17556, nrcpts=1, msgid=<20250728002514.do4hbg@aixhost>, status=Deferred (450 Timeout)
Jul 28 00:30:26 mailgw1 MTA[24219]: jvcsc8: from=<george.67@alpha.tech>, to=<lucy.56@banksecure.fin>, relay=mail.logistics.inc [53.124.12.55], proto=ESMTP, delay=16.56, size=11917, nrcpts=1, msgid=<20250728003026.jvcsc8@mailgw1>, status=Deferred (451 Temporary local problem)
Jul 28 00:32:39 mailgw1 MTA[46423]: kkj0iv: from=<david.99@marketing.agency>, to=<nora.6@researchlab.org>, relay=smtp.marketing.agency [90.71.170.229], proto=SMTP, delay=6.66, size=2591, nrcpts=1, msgid=<20250728003239.kkj0iv@mailgw1>, status=Bounced (550 User unknown)
Jul 28 00:32:59 postfix01 MTA[14773]: sv5ulf: from=<bob.87@example.com>, to=<emma.82@partner.solutions>, relay=smtp.banksecure.fin [138.143.156.66], proto=ESMTP, delay=20.23, size=16680, nrcpts=2, msgid=<20250728003259.sv5ulf@postfix01>, status=Rejected (553 Invalid recipient)
Jul 28 00:43:02 postfix01 MTA[50085]: n8j2tm: from=<hannah.49@mailservice.io>, to=<ava.73@mailbox.biz>, relay=smtp.cloudmail.ai [121.133.186.210], proto=ESMTP, delay=29.66, size=10634, nrcpts=1, msgid=<20250728004302.n8j2tm@postfix01>, status=Sent (250 OK)
Jul 28 00:44:34 aixhost MTA[97542]: 46pwyk: from=<nora.23@logistics.inc>, to=<charles.61@example.com>, relay=mailrelay.example.net [140.137.114.141], proto=ESMTP, delay=4.61, size=18824, nrcpts=2, msgid=<20250728004434.46pwyk@aixhost>, status=Rejected (554 Relay access denied)
Jul 28 00:52:10 postfix01 MTA[87940]: rdcipt: from=<laura.83@marketing.agency>, to=<grace.56@test.org>, relay=relay.mailbox.biz [56.69.248.51], proto=SMTP, delay=8.67, size=11899, nrcpts=1, msgid=<20250728005210.rdcipt@postfix01>, status=Rejected (550 Spam message blocked)
Jul 28 00:52:50 aixhost MTA[87577]: cou4wh: from=<luke.41@company.net>, to=<laura.12@mailbox.biz>, relay=mx.test.org [112.110.110.104], proto=ESMTP, delay=29.42, size=7333, nrcpts=1, msgid=<20250728005250.cou4wh@aixhost>, status=Bounced (554 Transaction failed)
Jul 28 00:55:55 aixhost MTA[44813]: c881qb: from=<laura.91@example.com>, to=<michael.59@fastmail.pro>, relay=outbound.university.edu [86.186.196.147], proto=ESMTP, delay=15.58, size=16930, nrcpts=2, msgid=<20250728005555.c881qb@aixhost>, status=Rejected (554 Relay access denied)
Jul 28 00:57:55 aixhost MTA[86393]: 0xy2dl: from=<emily.54@fastmail.pro>, to=<mia.1@fastmail.pro>, relay=mx.test.org [55.244.206.67], proto=ESMTP, delay=9.01, size=15000, nrcpts=2, msgid=<20250728005755.0xy2dl@aixhost>, status=Sent (250 Message queued)
Jul 28 00:58:13 mailgw1 MTA[49063]: p5p2m1: from=<john.22@example.com>, to=<mark.94@mailbox.biz>, relay=smtp.cloudmail.ai [85.54.200.240], proto=ESMTP, delay=13.98, size=3245, nrcpts=1, msgid=<20250728005813.p5p2m1@mailgw1>, status=Sent (250 OK)
Jul 28 00:59:26 postfix01 MTA[57550]: khpthd: from=<jane.30@alpha.tech>, to=<natalie.97@example.com>, relay=gw.researchlab.org [139.235.177.209], proto=SMTP, delay=21.83, size=8428, nrcpts=1, msgid=<20250728005926.khpthd@postfix01>, status=Bounced (550 User unknown)
Jul 28 01:00:53 mailgw1 MTA[91988]: g9v5rq: from=<jane.83@cloudmail.ai>, to=<natalie.97@mailbox.biz>, relay=smtp.banksecure.fin [128.138.197.132], proto=ESMTP, delay=26.16, size=5976, nrcpts=1, msgid=<20250728010053.g9v5rq@mailgw1>, status=Bounced (550 User unknown)
Jul 28 01:02:36 aixhost MTA[27675]: ta4v0g: from=<luke.44@cloudmail.ai>, to=<steven.15@example.com>, relay=mx1.fastmail.pro [69.70.132.236], proto=ESMTP, delay=20.3, size=5778, nrcpts=1, msgid=<20250728010236.ta4v0g@aixhost>, status=Deferred (451 Temporary local problem)
Jul 28 01:07:35 aixhost MTA[98551]: dby9tj: from=<bella.77@fastmail.pro>, to=<sara.60@test.org>, relay=outbound.university.edu [23.75.236.244], proto=ESMTP, delay=20.24, size=6485, nrcpts=2, msgid=<20250728010735.dby9tj@aixhost>, status=Bounced (550 User unknown)
Jul 28 01:12:22 postfix01 MTA[71182]: glx1x5: from=<luke.40@fastmail.pro>, to=<kevin.64@logistics.inc>, relay=gw.researchlab.org [9.47.10.239], proto=SMTP, delay=14.78, size=19297, nrcpts=2, msgid=<20250728011222.glx1x5@postfix01>, status=Bounced (554 Transaction failed)
Jul 28 01:12:37 postfix01 MTA[60761]: 64mavk: from=<john.60@university.edu>, to=<susan.31@securemail.gov>, relay=mx.test.org [78.29.203.216], proto=ESMTP, delay=25.35, size=7255, nrcpts=2, msgid=<20250728011237.64mavk@postfix01>, status=Rejected (554 Relay access denied)
Jul 28 01:15:41 aixhost MTA[81943]: fgynqw: from=<brian.77@company.net>, to=<grace.37@mailbox.biz>, relay=smtp.banksecure.fin [154.25.216.10], proto=ESMTP, delay=18.27, size=14977, nrcpts=2, msgid=<20250728011541.fgynqw@aixhost>, status=Sent (250 Message queued)
Jul 28 01:18:26 postfix01 MTA[37238]: mip8od: from=<james.58@securemail.gov>, to=<natalie.4@cloudmail.ai>, relay=smtp1.alpha.tech [29.129.176.19], proto=ESMTP, delay=23.39, size=16963, nrcpts=1, msgid=<20250728011826.mip8od@postfix01>, status=Sent (250 OK)
Jul 28 01:19:26 mailgw1 MTA[84113]: o74h6g: from=<laura.7@marketing.agency>, to=<nora.2@university.edu>, relay=smtp1.alpha.tech [69.252.55.78], proto=SMTP, delay=1.56, size=7388, nrcpts=1, msgid=<20250728011926.o74h6g@mailgw1>, status=Bounced (552 Message too large)
Jul 28 01:20:22 postfix01 MTA[24064]: y3oz5d: from=<karen.53@corporate.co>, to=<karen.99@logistics.inc>, relay=relay.mailservice.io [107.123.10.95], proto=ESMTP, delay=9.44, size=1668, nrcpts=1, msgid=<20250728012022.y3oz5d@postfix01>, status=Rejected (550 Spam message blocked)
Jul 28 01:20:32 mailgw1 MTA[16577]: tlngp1: from=<david.72@university.edu>, to=<sophia.54@example.com>, relay=gw.researchlab.org [50.120.80.209], proto=SMTP, delay=18.06, size=13258, nrcpts=1, msgid=<20250728012032.tlngp1@mailgw1>, status=Bounced (552 Message too large)
Jul 28 01:23:59 aixhost MTA[44227]: vv9s67: from=<grace.4@corporate.co>, to=<ava.84@alpha.tech>, relay=relay.corporate.co [82.140.71.139], proto=SMTP, delay=24.09, size=9303, nrcpts=2, msgid=<20250728012359.vv9s67@aixhost>, status=Rejected (553 Invalid recipient)
Jul 28 01:26:06 mailgw1 MTA[78390]: g7urkk: from=<eric.79@alpha.tech>, to=<luke.9@marketing.agency>, relay=smtp1.alpha.tech [124.17.150.160], proto=ESMTP, delay=9.26, size=4798, nrcpts=1, msgid=<20250728012606.g7urkk@mailgw1>, status=Deferred (450 Timeout)
Jul 28 01:36:49 aixhost MTA[24372]: daho91: from=<brian.29@corporate.co>, to=<david.57@mailservice.io>, relay=mailrelay.example.net [187.69.42.115], proto=ESMTP, delay=16.76, size=3425, nrcpts=1, msgid=<20250728013649.daho91@aixhost>, status=Bounced (550 User unknown)
Jul 28 01:45:22 postfix01 MTA[10223]: 4ztx9z: from=<sophia.56@mailservice.io>, to=<zoe.13@example.com>, relay=mx.test.org [21.98.132.40], proto=ESMTP, delay=22.72, size=11529, nrcpts=1, msgid=<20250728014522.4ztx9z@postfix01>, status=Sent (250 OK)
Jul 28 01:48:12 mailgw1 MTA[91143]: 17ymqi: from=<alice.87@partner.solutions>, to=<emma.23@test.org>, relay=mx.test.org [51.1.58.46], proto=ESMTP, delay=11.63, size=3199, nrcpts=1, msgid=<20250728014812.17ymqi@mailgw1>, status=Deferred (450 Timeout)
Jul 28 01:54:43 postfix01 MTA[41950]: lw72yf: from=<karen.89@cloudmail.ai>, to=<bob.52@university.edu>, relay=smtp.banksecure.fin [223.27.168.154], proto=SMTP, delay=26.9, size=12787, nrcpts=1, msgid=<20250728015443.lw72yf@postfix01>, status=Bounced (550 User unknown)
Jul 28 01:56:58 postfix01 MTA[14827]: 67ya9b: from=<sophia.65@mailbox.biz>, to=<john.18@corporate.co>, relay=smtp.banksecure.fin [223.211.130.21], proto=ESMTP, delay=25.5, size=17563, nrcpts=2, msgid=<20250728015658.67ya9b@postfix01>, status=Bounced (550 User unknown)
Jul 28 01:57:30 mailgw1 MTA[40170]: hcmwwn: from=<linda.79@logistics.inc>, to=<emma.66@company.net>, relay=relay.partner.solutions [140.78.95.201], proto=ESMTP, delay=22.65, size=13017, nrcpts=1, msgid=<20250728015730.hcmwwn@mailgw1>, status=Bounced (550 User unknown)
Jul 28 01:58:10 mailgw1 MTA[84144]: q1ve0b: from=<tom.91@partner.solutions>, to=<zoe.28@mailbox.biz>, relay=smtp.banksecure.fin [208.22.42.216], proto=ESMTP, delay=3.83, size=10383, nrcpts=1, msgid=<20250728015810.q1ve0b@mailgw1>, status=Sent (250 OK)
Jul 28 01:59:56 postfix01 MTA[48313]: uv9jj1: from=<chloe.83@mailservice.io>, to=<steven.33@university.edu>, relay=mail.logistics.inc [220.11.177.176], proto=SMTP, delay=25.48, size=19481, nrcpts=2, msgid=<20250728015956.uv9jj1@postfix01>, status=Rejected (554 Relay access denied)
Jul 28 02:00:16 aixhost MTA[15923]: sy0lis: from=<adam.91@test.org>, to=<justin.50@marketing.agency>, relay=relay.mailbox.biz [160.105.11.170], proto=ESMTP, delay=29.28, size=2497, nrcpts=2, msgid=<20250728020016.sy0lis@aixhost>, status=Bounced (552 Message too large)
Jul 28 02:10:21 mailgw1 MTA[59035]: 296t0h: from=<george.8@mailservice.io>, to=<natalie.91@securemail.gov>, relay=relay.mailbox.biz [221.108.240.24], proto=ESMTP, delay=19.62, size=18564, nrcpts=1, msgid=<20250728021021.296t0h@mailgw1>, status=Sent (250 Message queued)
Jul 28 02:15:36 postfix01 MTA[14920]: qwpy12: from=<sara.84@corporate.co>, to=<adam.36@logistics.inc>, relay=mx.test.org [40.45.249.113], proto=ESMTP, delay=14.51, size=7070, nrcpts=1, msgid=<20250728021536.qwpy12@postfix01>, status=Bounced (552 Message too large)
Jul 28 02:16:42 aixhost MTA[97160]: u4wgv1: from=<chloe.17@securemail.gov>, to=<karen.87@example.com>, relay=smtp.banksecure.fin [204.189.56.172], proto=SMTP, delay=16.25, size=16050, nrcpts=1, msgid=<20250728021642.u4wgv1@aixhost>, status=Rejected (553 Invalid recipient)
Jul 28 02:21:18 aixhost MTA[14510]: 54nqvq: from=<sophia.31@marketing.agency>, to=<justin.17@logistics.inc>, relay=relay.mailbox.biz [7.49.192.221], proto=ESMTP, delay=15.61, size=7090, nrcpts=1, msgid=<20250728022118.54nqvq@aixhost>, status=Deferred (450 Timeout)
Jul 28 02:24:12 aixhost MTA[90463]: 8c5b2g: from=<laura.34@researchlab.org>, to=<daniel.5@test.org>, relay=smtp.banksecure.fin [38.154.245.60], proto=ESMTP, delay=29.3, size=10393, nrcpts=1, msgid=<20250728022412.8c5b2g@aixhost>, status=Sent (250 OK)
Jul 28 02:24:56 postfix01 MTA[18779]: 37z4nz: from=<adam.13@university.edu>, to=<justin.19@logistics.inc>, relay=relay.partner.solutions [3.236.141.45], proto=ESMTP, delay=28.86, size=8980, nrcpts=2, msgid=<20250728022456.37z4nz@postfix01>, status=Deferred (450 Timeout)
Jul 28 02:30:21 mailgw1 MTA[84522]: 105y37: from=<tom.1@marketing.agency>, to=<sara.22@securemail.gov>, relay=smtp.cloudmail.ai [215.138.120.41], proto=ESMTP, delay=11.07, size=9600, nrcpts=1, msgid=<20250728023021.105y37@mailgw1>, status=Deferred (451 Temporary local problem)
Jul 28 02:31:09 mailgw1 MTA[28462]: 4ad1oy: from=<oliver.30@test.org>, to=<brian.67@mailbox.biz>, relay=relay.corporate.co [208.213.45.69], proto=ESMTP, delay=22.82, size=13030, nrcpts=1, msgid=<20250728023109.4ad1oy@mailgw1>, status=Sent (250 OK)
Jul 28 02:32:27 aixhost MTA[55909]: 7dk6cm: from=<luke.19@banksecure.fin>, to=<david.71@mailservice.io>, relay=smtp.marketing.agency [39.2.79.112], proto=ESMTP, delay=13.88, size=3942, nrcpts=1, msgid=<20250728023227.7dk6cm@aixhost>, status=Bounced (554 Transaction failed)
Jul 28 02:36:37 mailgw1 MTA[18910]: egbjil: from=<olivia.48@banksecure.fin>, to=<bob.63@securemail.gov>, relay=mx1.fastmail.pro [13.33.239.249], proto=SMTP, delay=21.1, size=1253, nrcpts=1, msgid=<20250728023637.egbjil@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 28 02:38:09 aixhost MTA[24636]: 7jpm69: from=<bob.31@banksecure.fin>, to=<kevin.20@logistics.inc>, relay=relay.corporate.co [54.168.153.247], proto=ESMTP, delay=15.64, size=14520, nrcpts=1, msgid=<20250728023809.7jpm69@aixhost>, status=Deferred (450 Timeout)
Jul 28 02:38:21 postfix01 MTA[78182]: ba4y80: from=<karen.21@securemail.gov>, to=<henry.85@banksecure.fin>, relay=smtp.company.net [78.75.225.200], proto=ESMTP, delay=27.53, size=17806, nrcpts=1, msgid=<20250728023821.ba4y80@postfix01>, status=Sent (250 Message queued)
Jul 28 02:39:34 mailgw1 MTA[29618]: 5n0tbe: from=<hannah.84@corporate.co>, to=<michael.70@partner.solutions>, relay=relay.corporate.co [192.71.126.189], proto=ESMTP, delay=25.25, size=10354, nrcpts=1, msgid=<20250728023934.5n0tbe@mailgw1>, status=Sent (250 OK)
Jul 28 02:41:26 postfix01 MTA[70361]: lwlqx4: from=<emma.78@partner.solutions>, to=<mark.50@banksecure.fin>, relay=smtp1.alpha.tech [155.152.179.126], proto=ESMTP, delay=12.74, size=13030, nrcpts=1, msgid=<20250728024126.lwlqx4@postfix01>, status=Deferred (450 Timeout)
Jul 28 02:42:25 mailgw1 MTA[73538]: j64fgs: from=<grace.48@researchlab.org>, to=<susan.49@mailservice.io>, relay=mail.logistics.inc [207.103.127.63], proto=ESMTP, delay=6.72, size=12921, nrcpts=1, msgid=<20250728024225.j64fgs@mailgw1>, status=Bounced (552 Message too large)
Jul 28 02:46:14 postfix01 MTA[15349]: jjtldd: from=<nora.69@mailservice.io>, to=<emma.32@mailservice.io>, relay=mx.test.org [21.255.175.92], proto=SMTP, delay=27.63, size=13587, nrcpts=2, msgid=<20250728024614.jjtldd@postfix01>, status=Bounced (554 Transaction failed)
Jul 28 02:47:52 postfix01 MTA[37174]: gemop8: from=<sophia.64@test.org>, to=<hannah.22@partner.solutions>, relay=outbound.university.edu [135.246.247.42], proto=SMTP, delay=29.73, size=12464, nrcpts=1, msgid=<20250728024752.gemop8@postfix01>, status=Bounced (552 Message too large)
Jul 28 02:51:19 postfix01 MTA[88572]: yu3lyi: from=<mark.50@test.org>, to=<mark.94@university.edu>, relay=smtp.cloudmail.ai [148.189.205.79], proto=ESMTP, delay=22.68, size=19740, nrcpts=2, msgid=<20250728025119.yu3lyi@postfix01>, status=Sent (250 Message queued)
Jul 28 03:04:44 mailgw1 MTA[21668]: cfluzc: from=<bob.10@banksecure.fin>, to=<emily.84@mailbox.biz>, relay=gw.researchlab.org [174.36.228.32], proto=ESMTP, delay=12.58, size=15914, nrcpts=2, msgid=<20250728030444.cfluzc@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 28 03:07:56 mailgw1 MTA[69759]: 3osu3c: from=<lucy.59@logistics.inc>, to=<bella.57@university.edu>, relay=mx.test.org [122.55.140.72], proto=ESMTP, delay=15.38, size=10554, nrcpts=1, msgid=<20250728030756.3osu3c@mailgw1>, status=Rejected (554 Relay access denied)
Jul 28 03:13:50 aixhost MTA[11278]: mwwjzs: from=<kevin.3@banksecure.fin>, to=<sara.56@fastmail.pro>, relay=smtp1.alpha.tech [88.153.187.172], proto=SMTP, delay=29.08, size=11775, nrcpts=1, msgid=<20250728031350.mwwjzs@aixhost>, status=Bounced (552 Message too large)
Jul 28 03:14:06 aixhost MTA[56495]: 7q9zwm: from=<justin.39@company.net>, to=<kevin.67@fastmail.pro>, relay=smtp.company.net [72.148.57.98], proto=SMTP, delay=1.53, size=6842, nrcpts=2, msgid=<20250728031406.7q9zwm@aixhost>, status=Bounced (554 Transaction failed)
Jul 28 03:15:57 aixhost MTA[81047]: 4ttpid: from=<ryan.56@logistics.inc>, to=<bob.31@fastmail.pro>, relay=mail.logistics.inc [167.126.142.105], proto=ESMTP, delay=3.7, size=12296, nrcpts=1, msgid=<20250728031557.4ttpid@aixhost>, status=Deferred (451 Temporary local problem)
Jul 28 03:16:16 postfix01 MTA[75826]: 7i59uv: from=<alice.10@researchlab.org>, to=<daniel.67@banksecure.fin>, relay=smtp1.alpha.tech [170.122.86.153], proto=ESMTP, delay=27.34, size=8790, nrcpts=1, msgid=<20250728031616.7i59uv@postfix01>, status=Deferred (450 Timeout)
Jul 28 03:17:31 postfix01 MTA[98047]: 4xb9m6: from=<ava.28@cloudmail.ai>, to=<kevin.59@university.edu>, relay=mx.securemail.gov [157.128.120.186], proto=ESMTP, delay=22.88, size=12839, nrcpts=1, msgid=<20250728031731.4xb9m6@postfix01>, status=Sent (250 Message queued)
Jul 28 03:24:01 aixhost MTA[59345]: 7xigjg: from=<lucy.44@corporate.co>, to=<michael.70@alpha.tech>, relay=smtp.banksecure.fin [21.133.160.7], proto=ESMTP, delay=17.53, size=15088, nrcpts=1, msgid=<20250728032401.7xigjg@aixhost>, status=Bounced (550 User unknown)
Jul 28 03:26:52 aixhost MTA[34770]: 7wt6oc: from=<james.41@banksecure.fin>, to=<eric.30@banksecure.fin>, relay=mx1.fastmail.pro [31.110.186.60], proto=ESMTP, delay=24.49, size=5166, nrcpts=1, msgid=<20250728032652.7wt6oc@aixhost>, status=Deferred (450 Timeout)
Jul 28 03:28:38 postfix01 MTA[42510]: 216thl: from=<daniel.69@mailbox.biz>, to=<lucy.12@banksecure.fin>, relay=mx1.fastmail.pro [1.78.74.63], proto=ESMTP, delay=12.69, size=9680, nrcpts=1, msgid=<20250728032838.216thl@postfix01>, status=Deferred (450 Timeout)
Jul 28 03:39:21 postfix01 MTA[51163]: sqltf1: from=<david.65@corporate.co>, to=<karen.99@test.org>, relay=smtp.marketing.agency [25.82.123.101], proto=SMTP, delay=8.05, size=1199, nrcpts=1, msgid=<20250728033921.sqltf1@postfix01>, status=Rejected (550 Spam message blocked)
Jul 28 03:49:55 mailgw1 MTA[44752]: zujgj7: from=<olivia.94@alpha.tech>, to=<emily.65@mailservice.io>, relay=gw.researchlab.org [150.23.141.114], proto=ESMTP, delay=2.28, size=14153, nrcpts=1, msgid=<20250728034955.zujgj7@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 28 03:50:31 postfix01 MTA[15536]: q728md: from=<nora.60@cloudmail.ai>, to=<brian.38@fastmail.pro>, relay=relay.corporate.co [48.11.205.137], proto=ESMTP, delay=1.76, size=4560, nrcpts=1, msgid=<20250728035031.q728md@postfix01>, status=Rejected (553 Invalid recipient)
Jul 28 04:12:57 postfix01 MTA[66707]: 4mo99d: from=<henry.57@mailbox.biz>, to=<ryan.80@marketing.agency>, relay=mx.test.org [60.145.153.88], proto=ESMTP, delay=24.63, size=15379, nrcpts=1, msgid=<20250728041257.4mo99d@postfix01>, status=Deferred (451 Temporary local problem)
Jul 28 04:18:06 mailgw1 MTA[58685]: k90d7e: from=<sara.1@logistics.inc>, to=<mark.82@cloudmail.ai>, relay=outbound.university.edu [14.248.124.174], proto=ESMTP, delay=11.62, size=5657, nrcpts=1, msgid=<20250728041806.k90d7e@mailgw1>, status=Bounced (550 User unknown)
Jul 28 04:18:15 aixhost MTA[68001]: l92f5e: from=<michael.79@partner.solutions>, to=<michael.27@securemail.gov>, relay=mailrelay.example.net [54.221.195.134], proto=ESMTP, delay=29.42, size=5054, nrcpts=1, msgid=<20250728041815.l92f5e@aixhost>, status=Deferred (451 Temporary local problem)
Jul 28 04:18:32 mailgw1 MTA[61911]: 2e6u0n: from=<mia.69@alpha.tech>, to=<sara.26@securemail.gov>, relay=mx.test.org [18.136.110.85], proto=SMTP, delay=12.26, size=7223, nrcpts=1, msgid=<20250728041832.2e6u0n@mailgw1>, status=Bounced (552 Message too large)
Jul 28 04:24:23 aixhost MTA[25247]: zvdgrn: from=<ava.55@mailbox.biz>, to=<oliver.90@mailbox.biz>, relay=smtp.marketing.agency [68.87.54.114], proto=ESMTP, delay=28.27, size=15829, nrcpts=1, msgid=<20250728042423.zvdgrn@aixhost>, status=Deferred (450 Timeout)
Jul 28 04:24:47 mailgw1 MTA[65288]: p00zdy: from=<mia.1@marketing.agency>, to=<john.54@fastmail.pro>, relay=mailrelay.example.net [223.15.171.188], proto=ESMTP, delay=29.89, size=8624, nrcpts=1, msgid=<20250728042447.p00zdy@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 28 04:37:53 aixhost MTA[93648]: acgqwm: from=<alice.34@example.com>, to=<john.28@mailbox.biz>, relay=smtp.company.net [9.244.14.137], proto=ESMTP, delay=7.78, size=17427, nrcpts=1, msgid=<20250728043753.acgqwm@aixhost>, status=Rejected (550 Spam message blocked)
Jul 28 04:40:00 aixhost MTA[22063]: 78v0ww: from=<mark.64@logistics.inc>, to=<mark.97@alpha.tech>, relay=mx.test.org [140.162.58.76], proto=ESMTP, delay=27.26, size=1600, nrcpts=1, msgid=<20250728044000.78v0ww@aixhost>, status=Sent (250 OK)
Jul 28 04:40:25 aixhost MTA[32492]: i3dxsp: from=<chloe.30@partner.solutions>, to=<ryan.96@company.net>, relay=mx1.fastmail.pro [19.97.123.39], proto=SMTP, delay=9.73, size=1183, nrcpts=1, msgid=<20250728044025.i3dxsp@aixhost>, status=Rejected (553 Invalid recipient)
Jul 28 04:43:12 postfix01 MTA[13935]: a3922l: from=<karen.51@marketing.agency>, to=<mark.74@researchlab.org>, relay=outbound.university.edu [105.15.5.87], proto=ESMTP, delay=14.8, size=11156, nrcpts=1, msgid=<20250728044312.a3922l@postfix01>, status=Sent (250 Message queued)
Jul 28 04:49:15 mailgw1 MTA[46656]: pu182c: from=<karen.5@marketing.agency>, to=<justin.69@cloudmail.ai>, relay=mx1.fastmail.pro [123.58.50.113], proto=ESMTP, delay=20.1, size=7054, nrcpts=1, msgid=<20250728044915.pu182c@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 28 04:51:01 postfix01 MTA[56245]: 8w8fna: from=<zoe.84@mailbox.biz>, to=<david.46@researchlab.org>, relay=mx.securemail.gov [51.104.99.107], proto=SMTP, delay=29.46, size=11962, nrcpts=1, msgid=<20250728045101.8w8fna@postfix01>, status=Rejected (554 Relay access denied)
Jul 28 04:52:37 postfix01 MTA[16510]: p680yk: from=<alice.9@test.org>, to=<henry.90@marketing.agency>, relay=mx1.fastmail.pro [194.105.61.86], proto=ESMTP, delay=26.56, size=12327, nrcpts=1, msgid=<20250728045237.p680yk@postfix01>, status=Deferred (451 Temporary local problem)
Jul 28 05:02:53 mailgw1 MTA[41772]: dg5kz0: from=<karen.83@logistics.inc>, to=<eric.48@researchlab.org>, relay=mx1.fastmail.pro [171.60.151.121], proto=ESMTP, delay=8.67, size=10225, nrcpts=1, msgid=<20250728050253.dg5kz0@mailgw1>, status=Deferred (451 Temporary local problem)
Jul 28 05:04:21 aixhost MTA[33254]: i02d1b: from=<mia.34@banksecure.fin>, to=<henry.82@university.edu>, relay=mx1.fastmail.pro [11.202.78.207], proto=ESMTP, delay=24.4, size=3530, nrcpts=1, msgid=<20250728050421.i02d1b@aixhost>, status=Deferred (450 Timeout)
Jul 28 05:14:59 postfix01 MTA[13651]: 0va3eq: from=<olivia.55@example.com>, to=<natalie.53@banksecure.fin>, relay=relay.mailbox.biz [123.202.65.173], proto=ESMTP, delay=28.81, size=19562, nrcpts=1, msgid=<20250728051459.0va3eq@postfix01>, status=Deferred (450 Timeout)
Jul 28 05:16:48 postfix01 MTA[36515]: x416ah: from=<bella.17@company.net>, to=<karen.74@banksecure.fin>, relay=smtp.company.net [4.239.184.205], proto=SMTP, delay=28.56, size=7225, nrcpts=1, msgid=<20250728051648.x416ah@postfix01>, status=Rejected (553 Invalid recipient)
Jul 28 05:19:12 mailgw1 MTA[96757]: kb6wc6: from=<bob.45@banksecure.fin>, to=<hannah.52@cloudmail.ai>, relay=mail.logistics.inc [17.143.42.99], proto=SMTP, delay=2.81, size=4298, nrcpts=2, msgid=<20250728051912.kb6wc6@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 28 05:20:33 postfix01 MTA[17096]: 0xr62m: from=<jane.32@mailbox.biz>, to=<kevin.97@mailbox.biz>, relay=relay.mailservice.io [216.210.21.206], proto=ESMTP, delay=26.29, size=4742, nrcpts=1, msgid=<20250728052033.0xr62m@postfix01>, status=Deferred (450 Timeout)
